dataset,method,classifier,fold,kfold,fmin,gmin,max_size,svc_C,pattern_type,closed_multiset,accuracy,pattern_number,extraction_time,time
asl-bu,occurrence,SVC,1,5,0.6,0.0,0,0.001,relevant,True,0.367816091954023,267,13.565415599994594,32.0219923780096
asl-bu,occurrence,SVC,1,5,0.6,0.0,0,0.01,relevant,True,0.367816091954023,267,13.565415599994594,32.022583546015085
asl-bu,occurrence,SVC,1,5,0.6,0.0,0,0.1,relevant,True,0.3793103448275862,267,13.565415599994594,32.02415979201032
asl-bu,occurrence,SVC,1,5,0.6,0.0,0,1,relevant,True,0.5632183908045977,267,13.565415599994594,32.01243215400609
asl-bu,occurrence,SVC,1,5,0.6,0.0,0,10,relevant,True,0.6781609195402298,267,13.565415599994594,32.00380393200612
asl-bu,occurrence,SVC,1,5,0.6,0.0,0,100,relevant,True,0.6436781609195402,267,13.565415599994594,32.001792359005776
asl-bu,occurrence,SVC,1,5,0.6,0.0,0,1000,relevant,True,0.6666666666666666,267,13.565415599994594,32.00015522101603
asl-bu,occurrence,SVC,2,5,0.6,0.0,0,0.001,relevant,True,0.367816091954023,203,13.114426983011072,26.005082477000542
asl-bu,occurrence,SVC,2,5,0.6,0.0,0,0.01,relevant,True,0.367816091954023,203,13.114426983011072,26.006228670012206
asl-bu,occurrence,SVC,2,5,0.6,0.0,0,0.1,relevant,True,0.41379310344827586,203,13.114426983011072,26.005935881999903
asl-bu,occurrence,SVC,2,5,0.6,0.0,0,1,relevant,True,0.5057471264367817,203,13.114426983011072,25.99823351300438
asl-bu,occurrence,SVC,2,5,0.6,0.0,0,10,relevant,True,0.6091954022988506,203,13.114426983011072,25.99021257800632
asl-bu,occurrence,SVC,2,5,0.6,0.0,0,100,relevant,True,0.6091954022988506,203,13.114426983011072,25.987290117001976
asl-bu,occurrence,SVC,2,5,0.6,0.0,0,1000,relevant,True,0.5977011494252874,203,13.114426983011072,25.988002629004768
asl-bu,occurrence,SVC,3,5,0.6,0.0,0,0.001,relevant,True,0.367816091954023,396,19.92741992000083,45.36645728199801
asl-bu,occurrence,SVC,3,5,0.6,0.0,0,0.01,relevant,True,0.367816091954023,396,19.92741992000083,45.36640941299265
asl-bu,occurrence,SVC,3,5,0.6,0.0,0,0.1,relevant,True,0.367816091954023,396,19.92741992000083,45.36702668599901
